2024110617251.txt,"appreciation,unprecedented,powerful,greatest,overcame,","furious,obstacles,concession,concede,",-0.2
2024110622091.txt,"peaceful, opportunity, fairness, dignity, promise, bright, optimism, faith, truth, service, brilliant, benefit, democracy, promise, bright, fighting, meaningful, congratulations, peaceful, fundamental, principle, democracy, trust, honor, encourage, barrier-breaking, possible, done, before","defeated, concede, fight, dark, dark, defiant, emotional, fight, cracking, lose, burdened, reluctant, unpopular, lost, defeated, charges, overturn, tyranny, crying, deterred, impossible",-0.1
2024110710584.txt,"affordable, safe, secure, proud, best, common sense, secure, promote, opportunity, prosperity, opportunity, liberty, security, strength, prosperity, opportunity, faith, honor, privilege, grateful, decency, compassion, love, love","misery, poverty, inflation, blamed, disenchant, alienated, absurdities",+0.2
20241107105813.txt,"smiling, happy, accomplished, historic, gratitude, first-rate, peaceful, hope, work, good, leaders, collective, mission, good, work, forward, standing, beside, accomplished,","decline, difficult, hard, painful, obstacles, unfathomably, painful, hard, hard, impacts, fight, hard, hard,",+0.1
2024110710341.txt,"crushing, angry, questioning, heavy, blame, difficult, low, crisis, disastrous, abandoned, angry, bad, vilified, mistake, flip, crucial, mistake, protests, seared",-0.8
2024110621361.txt,conceded,-0.1
2024110703103.txt,"opportunities, appreciated, congratulatory, praised, tremendous, integrity, courage, character, extraordinary, historic, possible, strong, moral, vision, free, just, opportunities, welcomed, entrusted, important, safeguard, freedom, anticipate, commitment, rising, liberty, prosperity, security, tradition","problems, cataclysmic, disaffected, rejection, brash, disruptive, upheaval, alarming, overshadowed, tumultuous",-0.1
2024110701072.txt,"excellent,congratulated,historic,landslide,tremendous,praised,great,close,advance,cooperation,strong,unwavering,vital,just,peace,success,peaceful,cornerstone,responsibility,together,common,impressed,excellent,start,bright,proud,enthusiastic,better,worth,freedoms","doubt,flattering,blasted,losses,abandoned,disastrous,powerful,concede",-0.1
2024110703101.txt,"live, supporters, gathered, delivered, elected, president, estimated, confidence, congratulated, win, strengthening, cooperation, allies, security, director, growing, expanding, strengths, improving, competitiveness, agreed, successful, partnership, enduring, discussed, global,","no, longer, lost, hard, narrow, warning, fabricated, undermine, falsely, pressure, restrict, threats, war, targeting, provision, troops,",-0.2
2024110701272.txt,"winning, victory, winning, great, support, historic, decisive, victory, freedoms, preserving, joyful, highlight, protecting,","deported, failed, skirting, failures, underperformed, abandoned, angry, threat, dangers, fascist, unhinged, unstable, failure,",-0.5
20241107105811.txt,"privilege,amazing,notable,significant,hope,win,well-established,lead,upholds,upholds,","devastating,devastating,loss,loss,defeated,defeating,challenger,challenger,criminal,",-0.1
2024110706441.txt,consequential,"reeling, panic, miscalculation, epic, sadly",-0.8
2024110710586.txt,"positive,proud,well,hope,forward,committed,historic,inspired,better,endure,strong,affordable,fairer,committed,values,deliver,best,best,historic,possible,strong,free,just,opportunities,best,best,champion,lead,congratulations","conceded,loss",+0.7
2024110622093.txt,"proud, leading, campaign, correspondent, covering","scared, face",-0.1
2024110622051.txt,"vindication,hope,good,peace,great","anger,war,genocide,bad,brutal,atrocities,vilify,dangers,assault,anti-genocide,anti-Muslim,anti-immigrant,antagonistic,flaws",-0.3
2024110707212.txt,"awesome,enhanced,improve,personalisation,precise,relevant,unique","concerns,failure,blame,trouble,risk,worse,unreflective,disaster,problem,problematic",-0.3
2024110701111.txt,"congratulated,peaceful,reassure,bright,cheers,laugh,engage,peaceful,principle,democracy,OK,OK,win,win,thanking,support,benefit,hope,support,saviour,energetic,freedom,resonated","rival,fight,not,not,not,tears,refusal,concede,lost,sad,disappointed,dark,stumbling,concerns,ruin,flooding,struck",-0.1
2024110622092.txt,"extraordinary, good, embrace, historic, appreciation, support, good, nice, enthusiasm, cheered, good, victory, freedom, liberation, journey, liberation, freedom","despair, grimacing, sad, disappointed, afraid, defeat, empty, sad, divided, trailed, silent, decline, lost",-0.1
2024110623171.txt,"accessible,quality,expert,gracious,engage,peaceful,fundamental,memorable,affording,afforded,congratulate,notable,remarkable,normalcy,normal,enjoy","abrupt,accusation,accuse,accusingly,alienate,anger,animosity,annoy,annoying,arrogance,arrogant,ashamed,atrocity,audacious,awful,awkward,bad,baffle,bash,betray,bewilder,bias,blame,bleak,boastful,brash,breakdown,brutal,bully,bungle,callous,chaos,cheat,choke,clumsy,combat,complain,complicated,conflict,confuse,confusion,contempt,contradict,controversial,corrupt,crass,cringe,critical,criticism,criticize,cross,crude,cruel,crush,cry,cumbersome,cynical,danger,dangerous,dead,debacle,deceit,deceive,decline,defeated,defensive,defiant,deficient,degrade,dehumanize,delusion,denial,depressed,depression,despair,desperate,despicable,despise,destructive,detached,detest,devastate,difficult,dire,disappoint,disaster,disastrous,discomfort,discontent,disgrace,disgust,dishearten,disillusion,dislike,disloyal,dismal,dismay,disorder,disrespect,distress,disturbing,divisive,dominate,doom,drab,drain,drastic,dreadful,dreary,dubious,dull,dumb,dupe,egotistical,embarrass,enemy,enrage,entrap,envious,erratic,escape,exasperate,exhaust,exploit,expose,fail,fake,falter,fanatic,farce,fatal,faulty,fear,feeble,feign,filthy,flaky,fool,forbid,fragile,frantic,fraud,frustrate,futile,gall,gamble,gloomy,greedy,grief,grim,grotesque,gross,guilt,hard,hate,hated,hateful,havoc,helpless,hideous,hinder,hostile,humiliate,hurt,hysterical,idiotic,ignorant,illogical,immature,impatient,imperfect,impolite,impossible,inability,inaccurate,inadequate,inappropriate,incompetent,inconvenient,incredulous,indifference,indignant,infamous,inferior,inflict,insecure,insidious,insignificant,insult,insulting,intense,intimidate,irrational,irresponsible,isolated,jaded,jealous,jerk,joyless,kill,lack,lame,languish,lash,lazy,liar,loathe,lost,lousy,ludicrous,malicious,manipulate,mean,mediocre,mess,misery,mistake,mistrust,moody,moron,mourn,muddle,nag,negative,neglect,negligent,nervous,nightmare,noise,noisy,nonsense,numb,obnoxious,obsessive,obsolete,offend,offensive,oppressive,ostracize,outburst,outrage,overwhelmed,panic,paranoid,pathetic,perplex,petty,phobic,pitiful,pity,plague,pointless,poor,powerless,prejudice,pretentious,protest,pry,questionable,quirky,quitter,racist,radical,reckless,regret,rejection,relentless,remorse,repel,repress,reprimand,repulsive,resent,resentment,restrictive,revenge,ridicule,rigid,rotten,rude,ruin,rupture,sabotage,sad,sadden,savage,scandal,scapegoat,scorn,scoundrel,screaming,scum,scurry,serious,shame,shameless,shoddy,shortage,shunned,sick,sinister,sketchy,slander,slimy,sloppy,smear,smug,smut,spiteful,stress,stuck,stupid,subpar,subversive,suffer,superficial,suspicion,suspicious,taint,tarnish,tedious,tense,terrible,terrifying,threat,threaten,threatening,torment,torture,tragic,trapped,trash,trivial,ugly,unbearable,uncaring,uncomfortable,undermine,undesirable,unfair,unfavorable,unforgiving,unfortunate,unfriendly,ungrateful,unhappy,unhealthy,unimportant,unimpressive,unjust,unlucky,unnecessary,unpleasant,unpopular,unreasonable,unsatisfied,unscrupulous,unsure,untrustworthy,upset,useless,vengeful,venomous,vexing,violent,void,vulgar,warped,weary,whine,wicked,worried,worry,worthless",-0.3
2024110710587.txt,"impressed, great, expert, winner, improve, healthy, rich, gold-standard, evidence-based, healthy, selfless, pursuit, Save, Congratulations, honor, historic, joy, worth, selfless, pursuit, Save, won, preference, acknowledge,","corruption, hell, hell,",+0.3
2024110701273.txt,"decisive, victory, cheers, hero's, jubilant, victory, democracy, decisive, opportunity, respite, security","rejection, unpopular, defeat, insult, subdued, fear",-0.1
2024110710342.txt,"best,flawlessly,historic,better,freedom,justice,fair","drastic,failed,unpopular,disastrous,trap,despair",-0.3
2024110701071.txt,"peaceful,importance,advocacy,friend,progress,challenge,clean,majorities,control,congratulate,commitment,importance,appreciated,decisive","defeat,refused,controversial,troubling,disaster,dangerous,foes,honeymoon,battle,violence,pressure,emerge,seize,contested,fraudulent",-0.2
20241107045710.txt,"effective, preferences, relevant, manage, smart, proper, remember, inquiries, contact, privacy","exhaustive, responsible, deleted, disable, consequences, deactivation, disable, remove, properly",-0.2
2024110617462.txt,"hopeful,legitimate,important,celebration,potential","opportunist,stink,desperation,crisis,risk,blow,fractures,failures,funeral,obituaries,dead,declined,hide",-0.3
2024110705072.txt,"committed, factual, fair, accountable, focus, full, graduated, touch, contact","forced, crime",+0.2
2024110622432.txt,"appeal, resilient, enormous, progressive, perfect, forward-looking, broader, prioritize, loyalty","disastrous, zero, tumultuous, convicted, felon, losing, felony, assassin, controversy, racist, violent, lose, error, concerns, aggressively, disaffected, threat, grave, enemies, rebuke, lost,",-0.3
2024110617502.txt,"features, enable, capabilities, effectiveness, improve, insights, preferences, relevant, enable, share, ability, impact, associate","block, fraud, prevent, reject, track, impact",-0.1
2024110612491.txt,"advocated,freedom,CEOs,elite,power,good,good,qualified,actively,working,realized,profession,opened,lawyer,graduate,sister,led,earned,accomplishments,recognized,overcoming,enthusiasm,magic","lost,breaking,gutted,down,down,nauseating,devastating,no,sad,hurt,chokehold,patriarchy,questions,over,questioned,problem,worse,affect,problem,lose,bad",-0.3
2024110710052.txt,"preserve, protect, improve, responsible, reformers, humility, desire, learn, increase, lower, efforts, trust, earn, overcome, salutary, diversity, encourage, updated","disapprove, discontent, criticism, ignorance, disinformation, ineffective, fester, virulent, infection, dangerous, problem, anti-system, furor, problem, daunting, opposition, skepticism, cynicism, mistakes, errors, halt, lost, painful, drubbing",-0.3
2024110622433.txt,"loyalty, important, better, power, enhanced, functionality, personalisation","back, back, impossible",+0.2
2024110710442.txt,"factual, fair, accountable, impact, high-profile, graduate, touch, contact",none,+0.3
2024110620581.txt,"improvements, help, new, welcome, good, good, good, good, thank, thank, thank, thank, love, love, gratitude, trust, love, promise, bright, beloved, love, faith, support, extraordinary, thank, thank, proud, intentional, building, building, together, love, enthusiasm, joy, future, knowledge, common, congratulated, victory, peaceful, fundamental, democracy, trust, honor, loyalty, loyalty, conscience,","loss, hate, kill, weak, greed, hate, kill, weak,",-0.1
2024110617463.txt,"powerful,better,leader,aspirational,ascendancy,worth,hope,delighted,trust,legacy,matters,common-sense,rooted,acceptance","irresponsible,condemns,bad,poor,inequality,sin,animates,inequality,racism,cliche,challenge,conventions,subverted,compensating,conservative,usurp,crime,devil,misunderstand,oppression,minorities,bleat,infamously",-0.2
20241107045711.txt,"informed, security, prevention, enable, capabilities, properly","block, function",0.0
2024110623511.txt,"acclaimed,achievement,admirable,amazing,authentic,awesome,beautiful,beloved,beneficial,best,brilliant,capable,charismatic,classic,comfortable,compassionate,confident,considerate,constructive,credible,delightful,dependable,desirable,devoted,dignified,diligent,divine,dynamic,eager,earnest,effective,effortless,elegant,elite,embrace,empower,energetic,engaging,enjoyable,enthusiastic,excellent,exceptional,exciting,exquisite,extraordinary,fabulous,faithful,fantastic,fascinating,favorite,fearless,flawless,flexible,flourish,fortunate,friendly,fun,generous,genius,genuine,gifted,glorious,good,graceful,gracious,grand,great,groundbreaking,happy,harmonious,healthy,heartfelt,heroic,honest,honorable,hopeful,ideal,immaculate,impressive,incredible,inspired,invincible,irresistible,joyful,jubilant,kind,knowledgeable,legendary,liberating,lively,lovable,lovely,loyal,luminous,majestic,masterful,meaningful,memorable,mighty,motivated,noble,nurturing,outstanding,passionate,peaceful,perfect,phenomenal,playful,poised,positive,powerful,praiseworthy,priceless,proactive,productive,prosperous,proud,radiant,reassuring,refreshing,reliable,remarkable,resilient,resourceful,respectful,rewarding,rich,romantic,satisfied,secure,sensational,serene,skilled,smart,special,spectacular,spirited,splendid,stellar,successful,superb,supportive,talented,terrific,thrilling,thriving,timeless,top-notch,trustworthy,unique,unstoppable,uplifting,valued,vibrant,victorious,virtuous,visionary,warm,wealthy,welcoming,well-being,wholehearted,wise,wonderful,worthy,zealous,zestful",none,+0.5
2024110617461.txt,"audacious,aspirations,indulgently,defiantly,realization,dreams,vanquish,hoped,identity,politics,audacious,dreams,alma mater,connection,resilience,ambitious,audacious,excited,possibility,embodies,audacity,unquestionably,product,audacious,enthusiasm,thrive","isolated,ennui,anxiety,headache,suppression,ghost,excited,impulses,diagnoses,vacuums",-0.1
2024110613175.txt,"positive,properly,information,preferences,legal,requirements,regularly,stay,informed,security,prevention,enable,capabilities","disable,disable,consequences,remove,properly,block,properly",-0.2
2024110620583.txt,"bless,good,power,improve,performance,enhanced,preferences,identifiable",none,+0.2
2024110622394.txt,"positivity,inclusivity,celebration,cheers,protect,access,protections,good","nothing,vindictive,streaming",-0.1
2024110620232.txt,"decisive, victory, welcome, jubilant, victory, decisive, victory, opportunity, respite, security","battles, wrested, stiff, challenge, defeat, insult, subdued, fear",-0.1
2024110622431.txt,"jubilant,freedom,opportunity,fairness,dignity,ideals,best,hope,freedom,good,joyful,worth,consensus,history-making,energizing,excitement,benefited,","rebuke,forlorn,crying,loss,despair,racism,sexism,stupid,disastrous,pressure,apathetic,bloated,",-0.1
2024110612492.txt,"accomplished, confident, meaningful, talented, smart, proud,","anti, nasty, trashy, hurts, delusional, hate, loss, battles, robbed, dysfunctional, lost, sad, skeptical, terrified, ignoring, racism, hate, low, haunting, terrifying, shrugs,",-0.6
2024110621501.txt,"gratitude, love, promise, bright, proud, peaceful, loyalty, allegiance, justice, worth, OK, encouraging, praised, congratulated, first-rate, historic, victory, spectacular, accomplishment, agenda, ahead","conceded, tearful, not, not, not, fight, fight, fight, fight, disastrous, unprecedented, obstacles, error, couldn't, surmount, divisions",-0.1
2024110710051.txt,"great, unapologetically, embrace, freedom, reasonable, success, decisive, champion, defender, confidence, astonishingly, significant, firmly, especially,","unpopular, sour, inflation, struggles, defeat, bad, unhappy, wrong, discontent, bleaker, debacle, crisis, bleakest, astonishingly, low, lost, draconian, suffering, damage, humiliating, demoralizing, sharply, poorer, skyrocketing, homelessness, frustrating, endless, flood, unabated, failures, galling, fault",-0.7
2024110614141.txt,"strong, growth, major, strong, largest, comprehensive, strongest, unmatched, unrivalled, complete","loss, struggled, concerns, weren't, risks",-0.1
2024110710441.txt,"victory, pivotal, instrumental, high, effectively, increased, success, expanded, appeal, broader, resilience, strong, connection, appealed, historic, effectively, factual, fair","conceded, unsuccessful, denying, blame, lost, struggled, lower, challenges, continuity, struggle, controversies, difficulties, struggled, counter, undermined",-0.2
2024110622391.txt,"excitement, welcome, committed, hoped, critical, biggest, exuberance, confidence, change, biggest, fastest, approval, consolidation, new, modern, presidential, politics, clearer, sharper, forcefully, support,","insurmountable, problem, struggling, listless, hesitant, losing, struggled, walls, crying, minor, problems, wrong, fumed, debate,",-0.3
2024110623071.txt,"promised, believed, ready, consoled, loved, independent, power, power, impossible, significance, desire, serve, freed, united, appealing,","lose, arduous, hardest, wrong, fail, barrier, defeated, sting, loss, defeated, bragged, stripping, abuse, terrified, terrified, terrified, bigoted, misogynistic, loss, sadness, pain, anger, shock, grim, resignation, difficult, hard, loss, impossible,",-0.6
2024110613171.txt,"dreams,ambitions,aspirations,democracy,congratulate,peaceful,congratulate,victory,cheers,excited,energy,excitement,rights,rights,won,grand,great","concede,concede,failed,disastrous,disillusioned,unpopular,restrictions,trounced,inflation",-0.1
2024110617465.txt,"accomplishment,competitive,deserve,hope,importance,institutional,possible,power,powerful,recognition,security,viable,wealthy","aberration,abuse,accusation,accuse,accusingly,afflict,affliction,alienate,anger,animosity,annihilate,annoy,appall,appalling,arrogance,arrogant,ashamed,atrocity,awful,backward,bad,baffle,bash,betray,bewilder,bias,blame,bleak,boastful,breakdown,bribe,brutal,bully,bungle,chaos,cheat,choke,clumsy,coerce,collude,combat,complain,complicated,conceited,conflict,confuse,confusion,contaminate,contempt,contradict,controversial,corrupt,crass,cringe,critical,criticism,criticize,cross,crude,cruel,crush,cry,cumbersome,cynical,danger,dangerous,dead,deadbeat,debacle,debilitate,deceit,deceive,decimated,decline,defamation,defeated,defensive,defiant,deficient,degrade,dehumanize,delusion,denial,depressed,depression,deprivation,despair,desperate,despicable,despise,destructive,detached,detest,devastate,dictator,difficult,dire,disappoint,disaster,disastrous,discomfort,discontent,disgrace,disgust,dishearten,disillusion,dislike,disloyal,dismal,dismay,disorder,disrespect,distress,disturbing,divisive,dominate,doom,drab,drain,drastic,dreadful,dreary,drunk,dubious,dull,dumb,dupe,egotistical,embarrass,emotionless,enemy,enrage,entrap,envious,erratic,escape,exasperate,exhaust,exploit,expose,fail,fake,falter,fanatic,farce,fat,fatal,faulty,fear,feeble,feign,filthy,flaky,fool,forbid,fragile,frantic,fraud,frustrate,futile,gall,gamble,gloomy,greedy,grief,grim,grotesque,gross,guilt,hard,hate,hated,hateful,havoc,helpless,hideous,hinder,hostile,humiliate,hurt,hysterical,idiotic,ignorant,illogical,immature,impatient,imperfect,impolite,impossible,inability,inaccurate,inadequate,inappropriate,incompetent,inconvenient,incredulous,indifference,indignant,infamous,inferior,inflict,insecure,insidious,insignificant,insult,insulting,intense,intimidate,irrational,irresponsible,isolated,jaded,jealous,jerk,joyless,kill,lack,lame,languish,lash,lazy,liar,loathe,lost,lousy,ludicrous,malicious,manipulate,mean,mediocre,mess,misery,mistake,mistrust,moody,moron,mourn,muddle,nag,negative,neglect,negligent,nervous,nightmare,noise,noisy,nonsense,numb,obnoxious,obsessive,obsolete,offend,offensive,oppressive,ostracize,outburst,outrage,overwhelmed,panic,paranoid,pathetic,perplex,petty,phobic,pitiful,pity,plague,pointless,poor,powerless,prejudice,pretentious,protest,pry,questionable,quirky,quitter,racist,radical,reckless,regret,rejection,relentless,remorse,repel,repress,reprimand,repulsive,resent,resentment,restrictive,revenge,ridicule,rigid,rotten,rude,ruin,rupture,sabotage,sad,sadden,savage,scandal,scapegoat,scorn,scoundrel,screaming,scum,scurry,serious,shame,shameless,shoddy,shortage,shunned,sick,sinister,sketchy,slander,slimy,sloppy,smear,smug,smut,spiteful,stress,stuck,stupid,subpar,subversive,suffer,superficial,suspicion,suspicious,taint,tarnish,tedious,tense,terrible,terrifying,threat,threaten,threatening,torment,torture,tragic,trapped,trash,trivial,ugly,unbearable,uncaring,uncomfortable,undermine,undesirable,unfair,unfavorable,unforgiving,unfortunate,unfriendly,ungrateful,unhappy,unhealthy,unimportant,unimpressive,unjust,unlucky,unnecessary,unpleasant,unpopular,unreasonable,unsatisfied,unscrupulous,unsure,untrustworthy,upset,useless,vengeful,venomous,vexing,violent,void,vulgar,warped,weary,whine,wicked,worried,worry,worthless",-0.1
2024110622192.txt,"freedom,applauded,close,supporters,congratulations,importance,peaceful,discussed","crying,loss,irony",-0.1
2024110622392.txt,"joy,smile,hope,celebrities,glory,gladly,strength,resiliency,toughness,best,","kinks,complaining,never,lost,weight,breaking,scowl,evaporated,anxious,dark,sinister,bad,bad,crucial,behind,nervous,struggled,",0.0
2024110613173.txt,"features, enable, capabilities, effectiveness, improve, insights, preferences, relevant, enable, share, preferences","block, fraud, prevent, reject, impact",+0.1
2024110701211.txt,"pioneer, role model, bright, tradition, promise, victory, popular, useful, intent, indubitably, heightened, structured, frothy, redolent, legacy, metaphor,","defeat, lament, tears",+0.3
2024110623073.txt,"shatter, focused, features, life, covering, range, issues, author, book, first, ladies, more, about, advertisement","lags, behind, despite, alone, run, lost, uncertain",-0.2
2024110622191.txt,"uplifting,positive,peaceful,congratulated,engage,peaceful,loyalty,loyalty,joyful,determined,reassure,freedom,justice,engaged,kindness,respect,strength,kindness,respect,engaged,freedom,justice,extraordinary,good,historic,barrier-breaking,extraordinary,good,historic,barrier-breaking,anthem","stinging,defeated,refused,defeated,refused,tense,despair,sad,disappointed,catastrophic",+0.3
2024110617251.txt,"appreciation, greatest, powerful, unprecedented,","furious, obstacles,",-0.1
2024110704577.txt,"wealthy,victory,cement,faith,forward","disproportionate,strip,fire,distanced,bribery,arrested,charge,pressure,pleaded,embarrass,impossible",-0.1
2024110617292.txt,"thank, good, future, thank, admire, hope, thank, faith, admire, hope, touched, please, trying","stuck, second, damage, injuries, criminal, responsible, stopped, convicted, PLEASE, DON'T, damage, injuries, criminal, responsible, stopped, convicted",-0.2
2024110622201.txt,"gratitude,trust,love,resolve,proud,enthusiasm,joy,knowledge,common,peaceful,trust,democracy,justice,freedom,justice,engaged,congratulate,importance,peaceful","defeated,despair,lose,tyranny,despair",+0.3
2024110619042.txt,"fresh, purpose, advocate, concerted, effort, leaders, connections, serve, anticipated, catapulted, energized, eager, change, forward, protecting, mission, leaders, support, support, thank, thank","languished, writing, overturned, odds, restless, unpopular, skeptical, unclear, impacts, fight, fight",-0.1
2024110617052.txt,"record, promised, high, victory, supporters, victory, cheers, victory, hero's, jubilant, victory, democracy, decisive, opportunity, respite, security","criticised, invasion, defeat, insult, subdued, fear",-0.1
2024110623081.txt,"better,full,pride,gratitude,congratulate,peaceful,respect,cherish,accept,distinguishes,democracy,honor,loyalty,opportunity,fairness,dignity,freedom,opportunity,freedom,ambitions,aspirations,freedom","conceded,impassioned,losing,claimed,stolen,fraud,concede,sad,disappointed",-0.1
2024110707041.txt,"responsibly,grace,dignity,hope,best,freedom,dignity,aspirations,important,peaceful","resist,concession,excuses,worst-case,doomed",+0.5
2024110619531.txt,"unifying, winner, congratulated, historic, strength, professionalism, tenacity, unifying, peaceful, victory, incredible, victory, extraordinary, honor, golden, fight, strong, safe, prosperous, deserve, deserve, Summa Cum Laude, honors,","concede, losing, painful, impacts, obstacles, crazy, fight,",-0.1
2024110704574.txt,"extraordinary,decisive,opportunities,success,leading,uniting,extraordinary,decisive,opportunities,success,leading,uniting,","concession,uncertain,criticism,trouble,trouble,disappointed,fears,violence,shut,shut,concede,",+0.1
2024110617291.txt,"thrilling, great, courageous, significant, rousing, expert, genuine, great, hard, pride, honor, belief, shone, proud, exemplary, urgent, cherish, value, respect, beloved, strong, worthy, prepared, brilliant, dignity, decency, grace, blessing, elegant, heartfelt, strength, proud, incredible, well, great, thank, courage, unity, beacon, hope,","exhaustive, blame, crises, disasters, pressing, hard, imperfect, deficiencies, rampant, painfully, uphill, bullied, attacked, denigrated,",+0.7
2024110622202.txt,"peaceful, importance, strength, professionalism, tenacity, unifying, historic, commitment, smooth, emphasized, importance, together, historic, swiftly, quickly, solidified, history, major, focus","chaotic, assassination, disastrous",+0.3
2024110619041.txt,"support, intelligent, in-depth, trustworthy, peaceful, potential, profound, foundational, popular, alma mater, supporters, ahead, plans, soon, top, adviser, enough, devastating, thank, confirm, swiftly, unified, remarkable, fate, limitations,","danger, rejection, anxiety, upheaval, danger, impeachments, felony, loss, bitter, violent, insurrection, threat, dissuade, struggling, stumbled, flamed, limitations,",-0.3
2024110623444.txt,"relevant, targeted, relevant, directly","less, less",-0.2
2024110704575.txt,"beautiful,opportunity,trust,celebrated,victory,fundamental,historic,happy,focus,focus,loyal","fighting,charged,prohibited,unlawful,disorderly,confusion,misreporting,critical",+0.1
2024110622411.txt,"supporters,hope,alive,light,promise,bright,engage,peaceful,principle,distinguishes,democracy,trust,honor,top,gain,momentum,fundraising,juggernaut,victory,improving,resonate,supporters,fighting,democracy,rule,equal,justice,sacred,rights,freedoms,respected,upheld","disappointment,losing,defeat,refused,tyranny,defeat,illegal,defeat,race,misogyny",-0.1
2024110623082.txt,"win, important, better, power, possible, done, hope, successes, right, worth, faith, prouder, champion, valuable, powerful, deserving, opportunity, achieve, dreams, factual, fair, accountable, focus, graduate","loss, hurts, painful",+0.7
2024110615291.txt,"strongest,authoritative,expertise,comprehensive,unmatched,highly-customised,unrivalled,insights,help","weaken,beleaguered,risks",+0.2
2024110704571.txt,"supporters, victory, victory, win, competitive, hopes, competitive, affable, gains, incumbent, good, power, beautiful, beautiful, popular, support, advance","defeated, indicted, convicted, felony, hush-money, blow, flipping, targeted, extremism, acrimonious, insults, barbs, threats, takeover, takeover, horribly, nightmare, murder, crime, shot, mugged, raped",-0.3
2024110623441.txt,"empowered, better, supporters, supporters, supporters, supporters, supporters, supporters, supporters, supporters, waves, vision, encouraged, fighting, vision, continue, win, hopes, rescue, chances, victory","lost, conceding, not, not, not, conceded, rejection, fight, defeat, shattered, stalled, trailed",-0.3
2024110621531.txt,"despair,violence,chaos,dark,sad,disappointed",+0.1
2024110621041.txt,"victory, victory, strength, professionalism, tenacity, unifying, happy, wonderful, unite, peace, believe, favorite,","losing, didn't, worst, bad, ewwww, ick, wrong, abysmally, impersonate, off,",-0.3
2024110620411.txt,successful,"concession, cancelled",-0.1
2024110620571.txt,"victory, improving, majority, gains, signal, correct, strides, increased, carried, victorious, unite, bonus, paid, critical, intense, advantage, helped, common-sense, modulate, decide, vowing, longtime","abrupt, incomplete, lose, defeated, adversary, negative, dominated, weaken, disappointed, outraged",-0.1
2024110620573.txt,"lively, honor, promises, hopes, supporters, majority, effective, improve, governance, mission, nonprofit, in-depth, nonpartisan, research, improve, policy, governance,","challenged, massive, costs, conflict, strife, backlash, fails, pay, price,",-0.2
2024110623132.txt,"unified, remarkable, purpose, leading, advocate, concerted, leaders, gift, friends, family, Copyright","limitations, flamed, languished, writing, overturned, catapulted, convicted, feared, defeat, steep, restless, unpopular, skeptical, struggle, unclear",-0.1
2024110623443.txt,"remarkable,unified,purpose,advocate,concerted,leaders,enhanced,better,","stumbled,badly,flamed,languished,limitations,writing,overturned,restless,unpopular,struggled,skeptical,unclear,",-0.2
2024110704573.txt,"secure, historic, congratulated, importance, committed, smooth, progress, significant, peaceful,","negative, criminal, interference, issues, trial, appeal, lost, litigate,",-0.1
2024110620572.txt,"best,unifying,building,opportunity,enhance,competence,character","plunged,negative,disapproval,abandoned,deprived,difficulties,flawed,angry,poor,danger,threats,charge,problems,spurned,unpopularity,refused,blurred,radical,dependent,afraid,tough,oblivious,defeat,recriminations,defeat",-0.8
2024110623593.txt,"acclaimed,accomplished,achievement,admirable,amazing,authentic,awesome,balanced,beneficial,blessed,brilliant,capable,charismatic,classic,comfortable,compassionate,complete,confident,considerate,constructive,credible,delightful,dependable,desirable,devoted,dignified,diligent,divine,dynamic,eager,earnest,effective,effortless,elegant,elite,embrace,empower,energetic,engaging,enjoyable,enthusiastic,excellent,exceptional,exciting,exquisite,extraordinary,fabulous,faithful,fantastic,fascinating,favorite,fearless,flawless,flexible,flourish,fortunate,friendly,fun,generous,genius,genuine,gifted,glorious,good,graceful,gracious,grand,great,groundbreaking,happy,harmonious,healthy,heartfelt,heroic,honest,honorable,hopeful,ideal,immaculate,impressive,incredible,inspired,invincible,irresistible,joyful,jubilant,kind,knowledgeable,legendary,liberating,lively,lovable,lovely,loyal,luminous,majestic,masterful,meaningful,memorable,mighty,motivated,noble,nurturing,outstanding,passionate,peaceful,perfect,phenomenal,playful,poised,positive,powerful,praiseworthy,priceless,proactive,productive,prosperous,proud,radiant,reassuring,refreshing,reliable,remarkable,resilient,resourceful,respectful,rewarding,rich,romantic,satisfied,secure,sensational,serene,skilled,smart,special,spectacular,spirited,splendid,stellar,successful,superb,supportive,talented,terrific,thrilling,thriving,timeless,top-notch,trustworthy,unique,unstoppable,uplifting,valued,vibrant,victorious,virtuous,visionary,warm,wealthy,welcoming,well-being,wholehearted,wise,wonderful,worthy,zealous,zestful",none,+0.8
20241107031010.txt,"freedom, star, power, victories, rights, advocates, rights, rights, stability, stability, role, stability, role, wide-ranging, traditional, conservative, rights, expand, congratulated, winning, did, it","restrictive, bans, defeated, bans, inconsistent, insistence, issue, impact, concede, authoritarian, tensions",-0.1
2024110710401.txt,"victory, supportive, confidence, better, inspire, right, decision, swiftly, better, extraordinary, loyal, trying, persuade, elect, trying","wreaked, havoc, cost, foolish, wrong, inexact, blame, infirm, decline, absurd, disapproved, wrong, irregular, taken, conspiratorial, yahoos, shocking, debacle, untenable, impossible, headwinds, unpopularity, weight, limitations, exposed",-0.6
2024110700001.txt,"agile, joyful, energetic, thoughtful, easy, vocal, unapologetic, support, support, support,","tricky, crushingly, weary, unpopular, unwillingness, discomfort, vanity, odd, dissatisfied, tough, burdened,",-0.3
